image_name,image_idx,a,b,mse_err
D:/fivekdataset_big/input/train/a0082-IMG_4578.tif,81,1.5612789468792834,0.21644999969738823,0.010590401763297263
D:/fivekdataset_big/input/train/a0083-jmac_MG_0082.tif,82,1.6546454360934566,0.13948663146364038,0.006695281221036356
D:/fivekdataset_big/input/train/a0084-_MG_1610.tif,83,1.5019889155018593,0.15998645946402026,0.014580969120225972
D:/fivekdataset_big/input/train/a0085-kme_215.tif,84,1.9374723144962054,0.1435818862100739,0.006208275639900205
D:/fivekdataset_big/input/train/a0086-WP_CRW_3706.tif,85,1.9803868651921033,0.09472485920237134,0.015404971789801762
D:/fivekdataset_big/input/train/a0087-kme_155.tif,86,2.117892392527052,0.23921034716297254,0.011094301134010236
D:/fivekdataset_big/input/train/a0088-_DGW6376.tif,87,1.7460860166513203,0.23936766324460215,0.027327114805828757
D:/fivekdataset_big/input/train/a0089-jn_20080509_245.tif,88,1.7590571431619975,0.18182070017087415,0.01407479845732535
D:/fivekdataset_big/input/train/a0090-LS_060715_8754.tif,89,2.193906559638562,0.10954923489571448,0.010681006579151178
D:/fivekdataset_big/input/train/a0091-jmac_MG_4959.tif,90,2.089582862734961,0.13072298815006814,0.0057737354578799895
D:/fivekdataset_big/input/train/a0092-jmac_MG_7673.tif,91,1.9597669410719998,0.28567220970648544,0.01832186764707654
D:/fivekdataset_big/input/train/a0093-MB_070908_038.tif,92,1.9316133314847383,0.14117646809571585,0.017079517851168447
D:/fivekdataset_big/input/train/a0094-CRW_2714.tif,93,2.26548163910092,0.15015940309778208,0.008436080875664366
D:/fivekdataset_big/input/train/a0095-IMG_9199.tif,94,2.3298704081423205,0.16387479117060502,0.01069204916087961
D:/fivekdataset_big/input/train/a0096-_DGW6249.tif,95,1.7193075517274807,0.27879394280452163,0.03971851312547387
D:/fivekdataset_big/input/train/a0097-JI2E5089.tif,96,1.8360915438624166,0.1961757693715119,0.010743781588106616
D:/fivekdataset_big/input/train/a0098-kme_187.tif,97,2.5593103372498596,0.22005377092586015,0.0058432523079939135
D:/fivekdataset_big/input/train/a0099-kme_264.tif,98,1.7813392925356653,0.16287500190497947,0.011204758479679696
D:/fivekdataset_big/input/train/a0100-AlexWed07-9691.tif,99,2.0054002747315285,0.1489067496915402,0.007595634020271831
D:/fivekdataset_big/input/train/a0101-kme_610.tif,100,1.9290543110115375,0.2060354787643882,0.012093228734593326
D:/fivekdataset_big/input/train/a0102-IMG_3663-1.tif,101,1.8228561993293924,0.2552781369493926,0.016741265982411827
D:/fivekdataset_big/input/train/a0103-jmac_MG_1394.tif,102,1.6470511598681217,0.20188007070097652,0.011326130111296328
D:/fivekdataset_big/input/train/a0104-dvf_003.tif,103,1.360574365585919,0.2390154485812415,0.013458319653407616
D:/fivekdataset_big/input/train/a0105-kme_439.tif,104,1.852117313080175,0.19485208437218857,0.009836556332345796
D:/fivekdataset_big/input/train/a0106-NKIM_120.tif,105,1.4077255805829827,0.24055298758032534,0.020602816378429402
D:/fivekdataset_big/input/train/a0107-IMG_2837.tif,106,1.9028685755190857,0.17236645109332044,0.009759509982693822
D:/fivekdataset_big/input/train/a0108-kme_175.tif,107,2.927081465610537,0.1298382926353442,0.017054875283885818
D:/fivekdataset_big/input/train/a0109-_DSC0022-1.tif,108,2.446833955115255,0.09606229820044529,0.01569896593542229
D:/fivekdataset_big/input/train/a0110-IMG_3981.tif,109,2.0290416879764352,0.15837372180139236,0.013817126423873734
D:/fivekdataset_big/input/train/a0111-IMG_4425.tif,110,1.7509170186478937,0.2045135770428954,0.015401884347150764
D:/fivekdataset_big/input/train/a0112-kme_093.tif,111,1.7095992473288044,0.15350838684187315,0.018932109057627326
D:/fivekdataset_big/input/train/a0113-IMG_1129.tif,112,1.8265496095799423,0.23619024386460208,0.022381144801663783
D:/fivekdataset_big/input/train/a0114-KE_-0062.tif,113,2.04820302383318,0.16056003497179983,0.008437256205232092
D:/fivekdataset_big/input/train/a0115-DSC_0004-1.tif,114,3.4345694568175813,0.1539293983330728,0.012032319440006944
D:/fivekdataset_big/input/train/a0116-WP_IMG_0083.tif,115,2.152004159474189,0.16940889489637984,0.006830027754226889
D:/fivekdataset_big/input/train/a0117-kme_006.tif,116,2.0933628689706976,0.15387752135491584,0.016142009313525746
D:/fivekdataset_big/input/train/a0118-20051223_103622__MG_0617.tif,117,2.3010220198761417,0.26381556503383047,0.01962869024073893
D:/fivekdataset_big/input/train/a0119-kme_120.tif,118,2.10986299238647,0.20922137608323302,0.012542874980146682
D:/fivekdataset_big/input/train/a0120-_MG_0300.tif,119,1.948695789183813,0.2264746969385221,0.012856006354176355
D:/fivekdataset_big/input/train/a0121-jmac_MG_7813.tif,120,2.2306165665556,0.1799550817036395,0.006529396819099772
D:/fivekdataset_big/input/train/a0122-NKIM_MG_8181.tif,121,1.8186186540373,0.09769950812961534,0.006825420596086278
D:/fivekdataset_big/input/train/a0123-JI2E4140.tif,122,2.1569448977883243,0.18500011345048012,0.01825463684763083
D:/fivekdataset_big/input/train/a0124-jmac_DSC3133.tif,123,1.8080601507538552,0.13421487102823862,0.008887683530856581
D:/fivekdataset_big/input/train/a0125-kme_314.tif,124,1.6934938618629214,0.12748447456812786,0.009566113318192605
D:/fivekdataset_big/input/train/a0126-DSC_0025.tif,125,1.8634834062907426,0.14900305586799908,0.010087217343878433
D:/fivekdataset_big/input/train/a0127-kme_578.tif,126,2.4720043475548095,0.12163982710997777,0.017275681006890614
D:/fivekdataset_big/input/train/a0128-IMG_0793.tif,127,2.2437197226658254,0.1901536883930018,0.0067490047772516045
